cell_id,lon,lat,poblacion_dane,vulnerabilidad,indice,nivel
121,-76.592258,3.465973,70,1.0,67.68,medio
123,-76.592258,3.468663,91,1.0,68.75,alto
100122,-76.590911,3.467318,27,1.0,65.55,medio
200120,-76.589563,3.464628,610,1.0,87.29,alto
200121,-76.589563,3.465973,444,1.0,82.61,alto
300118,-76.588216,3.461938,56,1.0,66.9,medio
300119,-76.588216,3.463283,536,1.0,85.48,alto
300120,-76.588216,3.464628,306,1.0,77.75,alto
400117,-76.586868,3.460593,170,1.0,72.11,alto
400118,-76.586868,3.461938,396,1.0,80.98,alto
400119,-76.586868,3.463283,225,1.0,74.57,alto
400120,-76.586868,3.464628,74,1.0,67.62,medio
500116,-76.585521,3.459248,172,1.0,72.16,alto
500117,-76.585521,3.460593,50,1.0,66.44,medio
500118,-76.585521,3.461938,303,1.0,77.52,alto
600115,-76.584173,3.457903,274,1.0,76.24,alto
600116,-76.584173,3.459248,408,1.0,81.26,alto
700114,-76.582826,3.456558,306,1.0,77.4,alto
700116,-76.582826,3.459248,22,1.0,64.95,medio
800114,-76.581478,3.456558,272,1.0,75.92,alto
900114,-76.580131,3.456558,50,1.0,65.98,medio
1000112,-76.578784,3.453868,684,1.0,87.83,alto
1000113,-76.578784,3.455213,731,1.0,88.87,alto
1000114,-76.578784,3.456558,84,1.0,67.43,medio
1000115,-76.578784,3.457903,294,1.0,76.57,alto
1100111,-76.577436,3.452523,30,1.0,64.23,medio
1100112,-76.577436,3.453868,428,1.0,80.7,alto
1100113,-76.577436,3.455213,332,1.0,77.46,alto
1100114,-76.577436,3.456558,551,1.0,84.83,alto
1100116,-76.577436,3.459248,84,1.0,67.42,medio
1200109,-76.576089,3.449833,64,1.0,65.3,medio
1200111,-76.576089,3.452523,108,1.0,67.67,medio
1200113,-76.576089,3.455213,347,1.0,77.79,alto
1200114,-76.576089,3.456558,707,1.0,87.96,alto
1300112,-76.574741,3.453868,499,1.0,82.43,alto
1300113,-76.574741,3.455213,702,1.0,87.37,alto
1300114,-76.574741,3.456558,776,1.0,88.86,alto
1300115,-76.574741,3.457903,340,1.0,77.43,alto
1400111,-76.573394,3.452523,997,1.0,90.57,alto
1400112,-76.573394,3.453868,405,1.0,79.05,alto
1500081,-76.572046,3.412171,120,1.0,67.43,medio
1500112,-76.572046,3.453868,448,1.0,80.1,alto
1500113,-76.572046,3.455213,634,1.0,85.34,alto
1600081,-76.570699,3.412171,378,0.96,76.88,alto
1600082,-76.570699,3.413516,37,1.0,62.94,medio
1600084,-76.570699,3.416207,169,1.0,68.79,alto
1600110,-76.570699,3.451178,116,1.0,66.52,medio
1600111,-76.570699,3.452523,390,0.8,70.51,alto
1600112,-76.570699,3.453868,145,1.0,67.98,medio
1600114,-76.570699,3.456558,103,1.0,66.45,medio
1700063,-76.569351,3.38796,27,1.0,64.9,medio
1700079,-76.569351,3.409481,64,1.0,64.25,medio
1700111,-76.569351,3.452523,356,0.8,68.95,alto
1700112,-76.569351,3.453868,756,1.0,86.89,alto
1700113,-76.569351,3.455213,437,1.0,79.15,alto
1700114,-76.569351,3.456558,136,1.0,67.6,medio
1800075,-76.568004,3.404101,99,0.8,59.09,medio
1800078,-76.568004,3.408136,16,0.6,44.95,bajo
1800079,-76.568004,3.409481,32,0.8,55.09,medio
1800083,-76.568004,3.414862,75,0.8,56.51,medio
1800085,-76.568004,3.417552,127,1.0,66.03,medio
1800088,-76.568004,3.421587,107,1.0,64.88,medio
1800089,-76.568004,3.422932,18,1.0,60.5,medio
1800090,-76.568004,3.424277,78,1.0,63.37,medio
1800110,-76.568004,3.451178,293,0.8,65.87,medio
1800111,-76.568004,3.452523,338,0.8,67.74,medio
1800112,-76.568004,3.453868,775,1.0,86.77,alto
1800113,-76.568004,3.455213,481,1.0,80.25,alto
1800114,-76.568004,3.456558,64,1.0,63.92,medio
1900060,-76.566656,3.383924,35,1.0,65.49,medio
1900061,-76.566656,3.385269,67,1.0,66.81,medio
1900079,-76.566656,3.409481,382,0.87,75.36,alto
1900080,-76.566656,3.410826,87,1.0,64.46,medio
1900084,-76.566656,3.416207,390,1.0,76.31,alto
1900085,-76.566656,3.417552,455,1.0,78.32,alto
1900086,-76.566656,3.418897,267,1.0,71.41,alto
1900087,-76.566656,3.420242,508,1.0,79.79,alto
1900088,-76.566656,3.421587,345,1.0,74.24,alto
1900089,-76.566656,3.422932,208,1.0,68.87,alto
1900109,-76.566656,3.449833,16,1.0,60.09,medio
1900110,-76.566656,3.451178,168,1.0,67.45,medio
1900111,-76.566656,3.452523,214,0.8,62.46,medio
1900112,-76.566656,3.453868,721,1.0,85.44,alto
1900113,-76.566656,3.455213,700,1.0,85.21,alto
2000059,-76.565309,3.382579,67,1.0,67.01,medio
2000060,-76.565309,3.383924,93,1.0,68.14,alto
2000063,-76.565309,3.38796,28,1.0,64.46,medio
2000065,-76.565309,3.39065,258,1.0,74.41,alto
2000077,-76.565309,3.406791,330,0.0,49.11,medio
2000080,-76.565309,3.410826,44,1.0,62.13,medio
2000084,-76.565309,3.416207,840,1.0,86.49,alto
2000085,-76.565309,3.417552,491,1.0,78.99,alto
2000086,-76.565309,3.418897,702,1.0,83.91,alto
2000087,-76.565309,3.420242,424,1.0,76.5,alto
2000088,-76.565309,3.421587,241,1.0,69.77,alto
2000089,-76.565309,3.422932,312,1.0,72.37,alto
2000090,-76.565309,3.424277,59,1.0,61.45,medio
2000107,-76.565309,3.447143,523,1.0,79.37,alto
2000109,-76.565309,3.449833,181,1.0,67.4,medio
2000110,-76.565309,3.451178,351,1.0,74.34,alto
2000111,-76.565309,3.452523,1056,0.8,80.98,alto
2000112,-76.565309,3.453868,1143,0.95,88.11,alto
2000113,-76.565309,3.455213,394,1.0,76.59,alto
2100058,-76.563961,3.381234,113,1.0,69.33,alto
2100059,-76.563961,3.382579,107,1.0,68.87,alto
2100060,-76.563961,3.383924,27,1.0,64.81,medio
2100061,-76.563961,3.385269,313,1.0,77.14,alto
2100063,-76.563961,3.38796,175,1.0,71.23,alto
2100064,-76.563961,3.389305,254,1.0,74.3,alto
2100066,-76.563961,3.391995,59,1.0,65.12,medio
2100078,-76.563961,3.408136,58,0.2,38.58,bajo
2100079,-76.563961,3.409481,270,0.2,47.64,bajo
2100080,-76.563961,3.410826,157,0.2,42.69,bajo
2100081,-76.563961,3.412171,391,0.84,74.02,alto
2100082,-76.563961,3.413516,408,1.0,76.35,alto
2100083,-76.563961,3.414862,733,0.93,83.33,alto
2100084,-76.563961,3.416207,899,1.0,86.67,alto
2100085,-76.563961,3.417552,636,1.0,82.25,alto
2100086,-76.563961,3.418897,303,1.0,71.87,alto
2100087,-76.563961,3.420242,309,1.0,71.94,alto
2100088,-76.563961,3.421587,460,1.0,77.15,alto
2100089,-76.563961,3.422932,379,1.0,74.32,alto
2100090,-76.563961,3.424277,113,1.0,63.5,medio
2100109,-76.563961,3.449833,324,1.0,72.27,alto
2100110,-76.563961,3.451178,656,0.88,80.91,alto
2100112,-76.563961,3.453868,904,0.84,85.0,alto
2100113,-76.563961,3.455213,438,1.0,77.41,alto
2200055,-76.562614,3.377199,18,1.0,65.13,medio
2200056,-76.562614,3.378544,65,1.0,67.32,medio
2200057,-76.562614,3.379889,338,1.0,78.71,alto
2200058,-76.562614,3.381234,372,1.0,79.75,alto
2200059,-76.562614,3.382579,245,1.0,74.89,alto
2200060,-76.562614,3.383924,480,1.0,83.01,alto
2200061,-76.562614,3.385269,146,1.0,70.01,alto
2200062,-76.562614,3.386614,76,1.0,66.57,medio
2200063,-76.562614,3.38796,522,1.0,83.6,alto
2200064,-76.562614,3.389305,539,1.0,83.83,alto
2200065,-76.562614,3.39065,497,1.0,82.42,alto
2200066,-76.562614,3.391995,404,1.0,79.15,alto
2200067,-76.562614,3.39334,511,1.0,82.44,alto
2200068,-76.562614,3.394685,104,1.0,66.64,medio
2200078,-76.562614,3.408136,107,0.2,40.39,bajo
2200081,-76.562614,3.412171,243,1.0,70.06,alto
2200082,-76.562614,3.413516,623,1.0,82.07,alto
2200083,-76.562614,3.414862,470,0.97,76.67,alto
2200084,-76.562614,3.416207,716,1.0,83.55,alto
2200085,-76.562614,3.417552,1363,1.0,88.02,alto
2200086,-76.562614,3.418897,754,1.0,83.87,alto
2200087,-76.562614,3.420242,644,1.0,81.63,alto
2200088,-76.562614,3.421587,611,1.0,80.74,alto
2200089,-76.562614,3.422932,263,1.0,69.41,alto
2200090,-76.562614,3.424277,361,1.0,73.14,alto
2200110,-76.562614,3.451178,741,0.8,75.56,alto
2200111,-76.562614,3.452523,841,0.83,83.0,alto
2200112,-76.562614,3.453868,808,0.93,83.87,alto
2200113,-76.562614,3.455213,669,1.0,83.1,alto
2200114,-76.562614,3.456558,29,1.0,60.51,medio
2300056,-76.561266,3.378544,534,1.0,85.35,alto
2300057,-76.561266,3.379889,760,1.0,90.03,alto
2300058,-76.561266,3.381234,631,1.0,87.35,alto
2300060,-76.561266,3.383924,286,1.0,76.03,alto
2300061,-76.561266,3.385269,173,1.0,71.23,alto
2300062,-76.561266,3.386614,613,1.0,85.96,alto
2300063,-76.561266,3.38796,725,1.0,88.04,alto
2300064,-76.561266,3.389305,601,1.0,85.18,alto
2300065,-76.561266,3.39065,694,1.0,86.95,alto
2300066,-76.561266,3.391995,161,1.0,69.44,alto
2300067,-76.561266,3.39334,448,1.0,80.2,alto
2300068,-76.561266,3.394685,100,1.0,66.26,medio
2300081,-76.561266,3.412171,499,0.2,54.11,medio
2300082,-76.561266,3.413516,139,0.8,56.88,medio
2300083,-76.561266,3.414862,389,0.86,72.42,alto
2300084,-76.561266,3.416207,811,1.0,84.68,alto
2300085,-76.561266,3.417552,1267,1.0,87.33,alto
2300086,-76.561266,3.418897,599,1.0,80.01,alto
2300087,-76.561266,3.420242,586,1.0,79.67,alto
2300088,-76.561266,3.421587,530,1.0,78.01,alto
2300089,-76.561266,3.422932,586,1.0,79.4,alto
2300090,-76.561266,3.424277,170,1.0,64.74,medio
2300109,-76.561266,3.449833,1080,1.0,85.48,alto
2300110,-76.561266,3.451178,154,1.0,63.74,medio
2300111,-76.561266,3.452523,285,0.98,68.54,alto
2300112,-76.561266,3.453868,873,0.85,82.92,alto
2300113,-76.561266,3.455213,323,0.99,71.02,alto
2300114,-76.561266,3.456558,898,1.0,86.48,alto
2300115,-76.561266,3.457903,1211,0.6,71.37,alto
2400052,-76.559919,3.373163,18,1.0,65.56,medio
2400053,-76.559919,3.374508,373,1.0,80.66,alto
2400054,-76.559919,3.375853,169,1.0,72.42,alto
