cell_id,lon,lat,hora,riesgo_dyn
53,-78.800053,1.790601,0,8.36
53,-78.800053,1.790601,1,7.94
53,-78.800053,1.790601,2,7.73
53,-78.800053,1.790601,3,7.52
53,-78.800053,1.790601,4,7.52
53,-78.800053,1.790601,5,7.73
53,-78.800053,1.790601,6,8.36
53,-78.800053,1.790601,7,9.19
53,-78.800053,1.790601,8,9.61
53,-78.800053,1.790601,9,9.4
53,-78.800053,1.790601,10,9.19
53,-78.800053,1.790601,11,9.4
53,-78.800053,1.790601,12,9.61
53,-78.800053,1.790601,13,9.61
53,-78.800053,1.790601,14,9.4
53,-78.800053,1.790601,15,9.4
53,-78.800053,1.790601,16,9.61
53,-78.800053,1.790601,17,10.03
53,-78.800053,1.790601,18,11.08
53,-78.800053,1.790601,19,11.91
53,-78.800053,1.790601,20,12.12
53,-78.800053,1.790601,21,11.7
53,-78.800053,1.790601,22,10.66
53,-78.800053,1.790601,23,9.4
54,-78.800053,1.791947,0,9.92
54,-78.800053,1.791947,1,9.43
54,-78.800053,1.791947,2,9.18
54,-78.800053,1.791947,3,8.93
54,-78.800053,1.791947,4,8.93
54,-78.800053,1.791947,5,9.18
54,-78.800053,1.791947,6,9.92
54,-78.800053,1.791947,7,10.92
54,-78.800053,1.791947,8,11.41
54,-78.800053,1.791947,9,11.16
54,-78.800053,1.791947,10,10.92
54,-78.800053,1.791947,11,11.16
54,-78.800053,1.791947,12,11.41
54,-78.800053,1.791947,13,11.41
54,-78.800053,1.791947,14,11.16
54,-78.800053,1.791947,15,11.16
54,-78.800053,1.791947,16,11.41
54,-78.800053,1.791947,17,11.91
54,-78.800053,1.791947,18,13.15
54,-78.800053,1.791947,19,14.14
54,-78.800053,1.791947,20,14.39
54,-78.800053,1.791947,21,13.89
54,-78.800053,1.791947,22,12.65
54,-78.800053,1.791947,23,11.16
55,-78.800053,1.793294,0,8.14
55,-78.800053,1.793294,1,7.74
55,-78.800053,1.793294,2,7.53
55,-78.800053,1.793294,3,7.33
55,-78.800053,1.793294,4,7.33
55,-78.800053,1.793294,5,7.53
55,-78.800053,1.793294,6,8.14
55,-78.800053,1.793294,7,8.96
55,-78.800053,1.793294,8,9.37
55,-78.800053,1.793294,9,9.16
55,-78.800053,1.793294,10,8.96
55,-78.800053,1.793294,11,9.16
55,-78.800053,1.793294,12,9.37
55,-78.800053,1.793294,13,9.37
55,-78.800053,1.793294,14,9.16
55,-78.800053,1.793294,15,9.16
55,-78.800053,1.793294,16,9.37
55,-78.800053,1.793294,17,9.77
55,-78.800053,1.793294,18,10.79
55,-78.800053,1.793294,19,11.61
55,-78.800053,1.793294,20,11.81
55,-78.800053,1.793294,21,11.4
55,-78.800053,1.793294,22,10.38
55,-78.800053,1.793294,23,9.16
56,-78.800053,1.794641,0,7.92
56,-78.800053,1.794641,1,7.52
56,-78.800053,1.794641,2,7.32
56,-78.800053,1.794641,3,7.13
56,-78.800053,1.794641,4,7.13
56,-78.800053,1.794641,5,7.32
56,-78.800053,1.794641,6,7.92
56,-78.800053,1.794641,7,8.71
56,-78.800053,1.794641,8,9.11
56,-78.800053,1.794641,9,8.91
56,-78.800053,1.794641,10,8.71
56,-78.800053,1.794641,11,8.91
56,-78.800053,1.794641,12,9.11
56,-78.800053,1.794641,13,9.11
56,-78.800053,1.794641,14,8.91
56,-78.800053,1.794641,15,8.91
56,-78.800053,1.794641,16,9.11
56,-78.800053,1.794641,17,9.5
56,-78.800053,1.794641,18,10.49
56,-78.800053,1.794641,19,11.28
56,-78.800053,1.794641,20,11.48
56,-78.800053,1.794641,21,11.08
56,-78.800053,1.794641,22,10.09
56,-78.800053,1.794641,23,8.91
100054,-78.798706,1.791947,0,7.83
100054,-78.798706,1.791947,1,7.44
100054,-78.798706,1.791947,2,7.25
100054,-78.798706,1.791947,3,7.05
100054,-78.798706,1.791947,4,7.05
100054,-78.798706,1.791947,5,7.25
100054,-78.798706,1.791947,6,7.83
100054,-78.798706,1.791947,7,8.62
100054,-78.798706,1.791947,8,9.01
100054,-78.798706,1.791947,9,8.81
100054,-78.798706,1.791947,10,8.62
100054,-78.798706,1.791947,11,8.81
100054,-78.798706,1.791947,12,9.01
100054,-78.798706,1.791947,13,9.01
100054,-78.798706,1.791947,14,8.81
100054,-78.798706,1.791947,15,8.81
100054,-78.798706,1.791947,16,9.01
100054,-78.798706,1.791947,17,9.4
100054,-78.798706,1.791947,18,10.38
100054,-78.798706,1.791947,19,11.16
100054,-78.798706,1.791947,20,11.36
100054,-78.798706,1.791947,21,10.97
100054,-78.798706,1.791947,22,9.99
100054,-78.798706,1.791947,23,8.81
100055,-78.798706,1.793294,0,8.13
100055,-78.798706,1.793294,1,7.72
100055,-78.798706,1.793294,2,7.52
100055,-78.798706,1.793294,3,7.32
100055,-78.798706,1.793294,4,7.32
100055,-78.798706,1.793294,5,7.52
100055,-78.798706,1.793294,6,8.13
100055,-78.798706,1.793294,7,8.94
100055,-78.798706,1.793294,8,9.35
100055,-78.798706,1.793294,9,9.15
100055,-78.798706,1.793294,10,8.94
