cell_id,lon,lat,poblacion_dane,n_points,indice,nivel
53,-78.800053,1.790601,0,18,12.12,bajo
54,-78.800053,1.791947,142,122,14.39,bajo
55,-78.800053,1.793294,0,281,11.81,bajo
56,-78.800053,1.794641,0,20,11.48,bajo
100054,-78.798706,1.791947,0,10,11.36,bajo
100055,-78.798706,1.793294,0,1196,11.79,bajo
100056,-78.798706,1.794641,0,176,11.03,bajo
200052,-78.797358,1.789254,0,45,11.41,bajo
200053,-78.797358,1.790601,90,145,12.74,bajo
200056,-78.797358,1.794641,0,2562,11.81,bajo
300049,-78.796011,1.785213,0,209,12.0,bajo
300050,-78.796011,1.78656,255,516,16.23,medio
300051,-78.796011,1.787907,0,175,11.31,bajo
300052,-78.796011,1.789254,150,640,13.84,bajo
300053,-78.796011,1.790601,218,674,14.75,medio
300054,-78.796011,1.791947,291,515,15.66,medio
300055,-78.796011,1.793294,0,13,10.11,bajo
300056,-78.796011,1.794641,559,278,19.7,medio
300057,-78.796011,1.795988,1512,2291,37.09,alto
400049,-78.794663,1.785213,64,364,12.76,bajo
400050,-78.794663,1.78656,325,2177,17.9,medio
400051,-78.794663,1.787907,95,816,12.84,bajo
400052,-78.794663,1.789254,128,817,13.09,bajo
400053,-78.794663,1.790601,275,2024,15.99,medio
400054,-78.794663,1.791947,369,296,16.39,medio
400055,-78.794663,1.793294,352,964,16.2,medio
400057,-78.794663,1.795988,446,2568,18.27,medio
400059,-78.794663,1.798681,0,42,8.87,bajo
400060,-78.794663,1.800028,0,138,8.81,bajo
400061,-78.794663,1.801375,130,43,10.93,bajo
500049,-78.793316,1.785213,139,404,13.66,bajo
500050,-78.793316,1.78656,137,2756,14.53,medio
500051,-78.793316,1.787907,107,871,12.63,bajo
500052,-78.793316,1.789254,220,1265,14.46,bajo
500053,-78.793316,1.790601,194,1584,13.87,bajo
500054,-78.793316,1.791947,186,657,12.93,bajo
500055,-78.793316,1.793294,512,1846,18.95,medio
500056,-78.793316,1.794641,225,1441,13.52,bajo
500057,-78.793316,1.795988,154,2980,12.92,bajo
500058,-78.793316,1.797335,65,108,9.63,bajo
500060,-78.793316,1.800028,96,1183,10.49,bajo
500061,-78.793316,1.801375,376,1223,15.27,medio
500062,-78.793316,1.802722,984,142,25.16,alto
600045,-78.791968,1.779826,0,15,12.32,bajo
600046,-78.791968,1.781173,0,40,11.89,bajo
600049,-78.791968,1.785213,0,23,10.64,bajo
600050,-78.791968,1.78656,385,2453,18.23,medio
600051,-78.791968,1.787907,262,1933,15.45,medio
600052,-78.791968,1.789254,330,2976,16.85,medio
600053,-78.791968,1.790601,448,1680,17.85,medio
600054,-78.791968,1.791947,160,1435,12.42,bajo
600055,-78.791968,1.793294,237,1424,13.46,bajo
600056,-78.791968,1.794641,383,1964,16.03,medio
600057,-78.791968,1.795988,193,3076,13.12,bajo
600058,-78.791968,1.797335,0,2293,9.16,bajo
600060,-78.791968,1.800028,90,2768,10.69,bajo
600061,-78.791968,1.801375,184,3210,12.48,bajo
600062,-78.791968,1.802722,29,168,8.09,bajo
700046,-78.790621,1.781173,0,81,11.56,bajo
700050,-78.790621,1.78656,288,108,14.87,medio
700051,-78.790621,1.787907,219,2924,14.83,medio
700052,-78.790621,1.789254,135,17372,20.89,alto
700053,-78.790621,1.790601,96,24465,23.74,alto
700054,-78.790621,1.791947,97,28102,25.42,alto
